league_id,league_name,league_type,league_logo,country_name,country_code,country_flag
660,WK-League,League,https://media.api-sports.io/football/leagues/660.png,South-Korea,KR,https://media.api-sports.io/flags/kr.svg
661,Cup,Cup,https://media.api-sports.io/football/leagues/661.png,Lithuania,LT,https://media.api-sports.io/flags/lt.svg
662,Copa por México,Cup,https://media.api-sports.io/football/leagues/662.png,Mexico,MX,https://media.api-sports.io/flags/mx.svg
663,Super Cup,Cup,https://media.api-sports.io/football/leagues/663.png,Russia,RU,https://media.api-sports.io/flags/ru.svg
666,Friendlies Women,Cup,https://media.api-sports.io/football/leagues/666.png,World,,
667,Friendlies Clubs,Cup,https://media.api-sports.io/football/leagues/667.png,World,,
668,1. Liga U19,League,https://media.api-sports.io/football/leagues/668.png,Czech-Republic,CZ,https://media.api-sports.io/flags/cz.svg
669,1. Liga Women,League,https://media.api-sports.io/football/leagues/669.png,Czech-Republic,CZ,https://media.api-sports.io/flags/cz.svg
670,Community Shield Women,Cup,https://media.api-sports.io/football/leagues/670.png,England,GB-ENG,https://media.api-sports.io/flags/gb-eng.svg
671,Úrvalsdeild Women,League,https://media.api-sports.io/football/leagues/671.png,Iceland,IS,https://media.api-sports.io/flags/is.svg
672,David Kipiani Cup,Cup,https://media.api-sports.io/football/leagues/672.png,Georgia,GE,https://media.api-sports.io/flags/ge.svg
673,Liga MX Femenil,League,https://media.api-sports.io/football/leagues/673.png,Mexico,MX,https://media.api-sports.io/flags/mx.svg
674,Cupa,Cup,https://media.api-sports.io/football/leagues/674.png,Moldova,MD,https://media.api-sports.io/flags/md.svg
675,U21 Divisie 1,League,https://media.api-sports.io/football/leagues/675.png,Netherlands,NL,https://media.api-sports.io/flags/nl.svg
676,Central Youth League,League,https://media.api-sports.io/football/leagues/676.png,Poland,PL,https://media.api-sports.io/flags/pl.svg
678,Super Cup,Cup,https://media.api-sports.io/football/leagues/678.png,Ukraine,UA,https://media.api-sports.io/flags/ua.svg
679,U21 League,League,https://media.api-sports.io/football/leagues/679.png,Ukraine,UA,https://media.api-sports.io/flags/ua.svg
680,Cup,Cup,https://media.api-sports.io/football/leagues/680.png,Slovakia,SK,https://media.api-sports.io/flags/sk.svg
681,Campeonato de Portugal Prio - Group E,League,https://media.api-sports.io/football/leagues/681.png,Portugal,PT,https://media.api-sports.io/flags/pt.svg
682,Campeonato de Portugal Prio - Group F,League,https://media.api-sports.io/football/leagues/682.png,Portugal,PT,https://media.api-sports.io/flags/pt.svg
683,Campeonato de Portugal Prio - Group G,League,https://media.api-sports.io/football/leagues/683.png,Portugal,PT,https://media.api-sports.io/flags/pt.svg
684,Campeonato de Portugal Prio - Group H,League,https://media.api-sports.io/football/leagues/684.png,Portugal,PT,https://media.api-sports.io/flags/pt.svg
685,3. liga - CFL B,League,https://media.api-sports.io/football/leagues/685.png,Czech-Republic,CZ,https://media.api-sports.io/flags/cz.svg
686,4. liga - Divizie F,League,https://media.api-sports.io/football/leagues/686.png,Czech-Republic,CZ,https://media.api-sports.io/flags/cz.svg
687,Regionalliga - Tirol,League,https://media.api-sports.io/football/leagues/687.png,Austria,AT,https://media.api-sports.io/flags/at.svg
688,Regionalliga - Salzburg,League,https://media.api-sports.io/football/leagues/688.png,Austria,AT,https://media.api-sports.io/flags/at.svg
689,Third Amateur Division - ACFF A,League,https://media.api-sports.io/football/leagues/689.png,Belgium,BE,https://media.api-sports.io/flags/be.svg
690,Third Amateur Division - ACFF B,League,https://media.api-sports.io/football/leagues/690.png,Belgium,BE,https://media.api-sports.io/flags/be.svg
691,Provincial - Brabant ACFF,League,https://media.api-sports.io/football/leagues/691.png,Belgium,BE,https://media.api-sports.io/flags/be.svg
692,Primera División RFEF - Group 5,League,https://media.api-sports.io/football/leagues/692.png,Spain,ES,https://media.api-sports.io/flags/es.svg
693,Gamma Ethniki - Group 9,League,https://media.api-sports.io/football/leagues/693.png,Greece,GR,https://media.api-sports.io/flags/gr.svg
694,Gamma Ethniki - Group 10,League,https://media.api-sports.io/football/leagues/694.png,Greece,GR,https://media.api-sports.io/flags/gr.svg
695,U18 Premier League - North,League,https://media.api-sports.io/football/leagues/695.png,England,GB-ENG,https://media.api-sports.io/flags/gb-eng.svg
696,U18 Premier League - South,League,https://media.api-sports.io/football/leagues/696.png,England,GB-ENG,https://media.api-sports.io/flags/gb-eng.svg
697,WSL Cup,Cup,https://media.api-sports.io/football/leagues/697.png,England,GB-ENG,https://media.api-sports.io/flags/gb-eng.svg
699,Women's Championship,League,https://media.api-sports.io/football/leagues/699.png,England,GB-ENG,https://media.api-sports.io/flags/gb-eng.svg
700,Kakkosen Cup,Cup,https://media.api-sports.io/football/leagues/700.png,Finland,FI,https://media.api-sports.io/flags/fi.svg
701,Liga Revelação U23,League,https://media.api-sports.io/football/leagues/701.png,Portugal,PT,https://media.api-sports.io/flags/pt.svg
